Commodity,Region,Price
BAWANG MERAH,BREBES,21547.699004975126
BERAS MEDIUM,LAMPUNG,13333.333333333334
GABAH,CIANJUR,6028.950819672131
GABAH,GROBOGAN,5315.580985915493
GABAH,LAMPUNG,7767.857142857143
GABAH GKP,GROBOGAN,7434.482758620689
GABAH GKP,LAMPUNG,6569.2307692307695
JAGUNG,LAMPUNG,6400.0
JAGUNG,TASIKMALAYA,4866.8707482993195
KAKAO,KENDARI,29116.683741648107
KARET,JAMBI,7888.686131386861
KARET BOKAR,KUANTAN SINGINGI,10763.461538461539
KELAPA SAWIT,JAMBI,1866.124824684432
KELAPA SAWIT,PADANG,3150.193220338983
KELAPA SAWIT,SUMATERA SELATAN,2297.7030481809243
LADA PUTIH,BANGKA,80587.53709198812
TEMBAKAU BOYOLALI,MALANG,85000.0
TEMBAKAU BURLEY,MALANG,74000.0
TEMBAKAU KASTURI,MALANG,90000.0
